marker_compound,smiles,formula_verified,verification_strength,source_files,compound_type,temperament,notes
echinacoside,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)COC4C(C(C(C(O4)CO)O)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,C35H46O20,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
emodin,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,C15H10O5,,tcm_verified.csv,Anthraquinones,NS-Wet,
ephedrine,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC,C10H15NO,,tcm_verified.csv,Alkaloids,Cold-Dry,
eucalyptol,CC1(C2CCC(O1)(CC2)C)C,C10H18O,,tcm_verified.csv,Volatile oils,Hot-Dry,
evodiamine,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=CC=CC=C5N3,C19H17N3O,weak (PubChem self-reported formula),batch1.csv,Alkaloids,Cold-Dry,
ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C10H10O4,,tcm_verified.csv,Phenolic acids,NS-Dry,
formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,C16H12O4,,tcm_verified.csv,Flavonoids,Cold-NS,
gastrodin,C1=CC(=CC=C1CO)OC2C(C(C(C(O2)CO)O)O)O,C13H18O7,weak (PubChem self-reported formula),batch1.csv,Phenolic acids,NS-Dry,
geniposide,COC(=O)C1=CO[C@H]([C@H]2[C@@H]1CC=C2CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,C17H24O10,,tcm_verified.csv,Iridoids,Hot-Wet,
gentiopicroside,C=CC1C(OC=C2C1=CCOC2=O)OC3C(C(C(C(O3)CO)O)O)O,C16H20O9,weak (PubChem self-reported formula),batch2.csv;tcm_verified.csv,Iridoids,Hot-Wet,
