marker_compound,smiles,canonical_smiles,formula_verified,topology_formula,topology_MolWt,topology_LogP,topology_TPSA,topology_HBD,topology_HBA,topology_RotatableBonds,topology_FractionCSP3,topology_NumHeteroatoms,topology_AromaticRings,topology_RingCount,topology_NumAliphaticRings,topology_NumSaturatedRings,topology_NumHeterocycles
chlorogenic acid,OC1CC(O)(CC(O)C1OC(=O)/C=C/c2ccc(O)c(O)c2)C(=O)O,O=C(/C=C/c1ccc(O)c(O)c1)OC1C(O)CC(O)(C(=O)O)CC1O,C16H18O9,C16H18O9,354.311,-0.6459,164.75,6.0,8.0,4.0,0.375,9.0,1,2,1,1,0
betaine,C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],C5H11NO2,C5H11NO2,117.148,-1.5575,40.13,0.0,2.0,2.0,0.8,3.0,0,0,0,0,0
baicalin,O=C1C=C(Oc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c12)c4ccccc4,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,C21H18O11,C21H18O11,446.364,0.1422,187.12,6.0,10.0,4.0,0.238095,11.0,3,4,1,1,2
eucalyptol,CC1(C)C2CCC(C)(O1)CC2,CC12CCC(CC1)C(C)(C)O2,C10H18O,C10H18O,154.253,2.7441,9.23,0.0,1.0,0.0,1.0,1.0,0,3,3,3,2
limonene,CC1=CCC(CC1)C(=C)C,C=C(C)C1CC=C(C)CC1,C10H16,C10H16,136.238,3.3089,0.0,0.0,0.0,1.0,0.6,0.0,0,1,1,0,0
curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,C21H20O6,C21H20O6,368.385,3.3699,93.06,2.0,6.0,8.0,0.142857,6.0,2,2,0,0,0
arecoline,COC(=O)C1=CCCN(C)C1,COC(=O)C1=CCCN(C)C1,C8H13NO2,C8H13NO2,155.197,0.4213,29.54,0.0,3.0,1.0,0.625,3.0,0,1,1,0,1
magnolol,Oc1ccc(CC=C)cc1-c2cc(CC=C)ccc2O,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,C18H18O2,C18H18O2,266.34,4.2218,40.46,2.0,2.0,5.0,0.111111,2.0,2,2,0,0,0
menthone,CC(C)C1CCC(C)CC1=O,CC1CCC(C(C)C)C(=O)C1,C10H18O,C10H18O,154.253,2.6477,17.07,0.0,1.0,1.0,0.9,1.0,0,1,1,1,0
indigo,O=C1Nc2ccccc2/C1=C3\Nc4ccccc4C3=O,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2C1=O,C16H10N2O2,C16H10N2O2,262.268,2.6582,58.2,2.0,3.0,0.0,0.0,4.0,2,4,2,0,2
