Herb_cn_name,Herb_name_pinyin,Property,Flavor,Meridian
夏枯草,xia ku cao,cold,"bitter,pungent","gallbladder,liver"
郁金,yu jin,cold,"bitter,pungent","lung,liver,heart"
紫花地丁,zi hua di ding,cold,"bitter,pungent","liver,heart"
冰片,bing pian,cool,"bitter,pungent","lung,heart"
雷公藤,lei gong teng,cool,"bitter,pungent","liver,tripleburner,kidneyothers"
一枝黄花,yi zhi huang hua,cool,"bitter,pungent","lung,liver"
大叶紫珠,da ye zi zhu,even,"bitter,pungent","lung,liver,stomach"
桔梗,jie geng,even,"bitter,pungent",lung
老鹳草,lao guan cao,even,"bitter,pungent","liver,spleen,kidney"
两面针,liang mian zhen,even,"bitter,pungent","liver,stomach"
没药,mo yao,even,"bitter,pungent","liver,spleen,heart"
南鹤虱,nan he shi,even,"bitter,pungent","spleen,stomach"
秦艽,qin jiao,even,"bitter,pungent","gallbladder,liver,stomach"
青风藤,qing feng teng,even,"bitter,pungent","liver,spleen"
三棱,san leng,even,"bitter,pungent","liver,spleen"
肿节风,zhong jie feng,even,"bitter,pungent","liver,heart"
葶苈子,ting li zi,great cold,"bitter,pungent","bladder,lung"
草乌,cao wu,hot,"bitter,pungent","liver,spleen,heart"
川乌,chuan wu,hot,"bitter,pungent","liver,spleen,kidney,heart"
吴茱萸,wu zhu yu,hot,"bitter,pungent","liver,spleen,kidney,stomach"
柴胡,chai hu,mildly cold,"bitter,pungent","gallbladder,lung,liver"
络石藤,luo shi teng,mildly cold,"bitter,pungent","liver,kidney,heart"
蔓荆子,man jing zi,mildly cold,"bitter,pungent","bladder,liver,stomach"
牡丹皮,mu dan pi,mildly cold,"bitter,pungent","liver,kidney,heart"
前胡,qian hu,mildly cold,"bitter,pungent",lung
野菊花,ye ju hua,mildly cold,"bitter,pungent","liver,heart"
益母草,yi mu cao,mildly cold,"bitter,pungent","bladder,liver,pericardiumothers"
茵陈,yin chen,mildly cold,"bitter,pungent","gallbladder,liver,spleen,stomach"
白前,bai qian,mildly warm,"bitter,pungent",lung
独活,du huo,mildly warm,"bitter,pungent","bladder,kidney"
海风藤,hai feng teng,mildly warm,"bitter,pungent",liver
蒺藜,ji li,mildly warm,"bitter,pungent",liver
续断,xu duan,mildly warm,"bitter,pungent","liver,kidney"
泽兰,ze lan,mildly warm,"bitter,pungent","liver,spleen"
莪术,e zhu,warm,"bitter,pungent","liver,spleen"
艾叶,ai ye,warm,"bitter,pungent","liver,spleen,kidney"
安息香,an xi xiang,warm,"bitter,pungent","liver,spleen,heart"
槟榔,bin lang,warm,"bitter,pungent","largeintestine,spleen,stomach"
苍术,cang zhu,warm,"bitter,pungent","spleen,stomach"
沉香,chen xiang,warm,"bitter,pungent","spleen,kidney,stomach"
陈皮,chen pi,warm,"bitter,pungent","lung,spleen"
川木香,chuan mu xiang,warm,"bitter,pungent","largeintestine,gallbladder,spleen,stomach"
厚朴,hou pu,warm,"bitter,pungent","largeintestine,lung,spleen,stomach"
姜黄,jiang huang,warm,"bitter,pungent","liver,spleen"
金铁锁,jin tie suo,warm,"bitter,pungent",liver
木香,mu xiang,warm,"bitter,pungent","largeintestine,gallbladder,spleen,tripleburner,stomachothers"
羌活,qiang huo,warm,"bitter,pungent","bladder,kidney"
青皮,qing pi,warm,"bitter,pungent","liver,gallbladder,stomach"
乳香,ru xiang,warm,"bitter,pungent","liver,spleen,heart"
蛇床子,she chuang zi,warm,"bitter,pungent",kidney
石菖蒲,shi chang pu,warm,"bitter,pungent","stomach,heart"
天南星,tian nan xing,warm,"bitter,pungent","lung,liver,spleen"
天仙子,tian xian zi,warm,"bitter,pungent","liver,stomach,heart"
土木香,tu mu xiang,warm,"bitter,pungent","liver,spleen"
香加皮,xiang jia pi,warm,"bitter,pungent","liver,kidney,heart"
薤白,xie bai,warm,"bitter,pungent","largeintestine,lung,stomach,heart"
延胡索,yan hu suo,warm,"bitter,pungent","liver,spleen"
芫花,yuan hua,warm,"bitter,pungent","lung,spleen,kidney"
远志,yuan zhi,warm,"bitter,pungent","lung,kidney,heart"
紫菀,zi wan,warm,"bitter,pungent",lung
白薇,bai wei,cold,"bitter,salty","liver,kidney,stomach"
海藻（羊栖菜）,hai zao （yang qi cai ）,cold,"bitter,salty","liver,tripleburner,kidney,stomachothers"
旋覆花,xuan fu hua,mildly warm,"bitter,salty,pungent","largeintestine,lung,spleen,stomach"
金沸草,jin fei cao,warm,"bitter,salty,pungent","largeintestine,lung"
赤芍,chi shao,cool,"bitter,sour","liver,spleen"
蓍草,shi cao,even,"bitter,sour","bladder,lung,spleen"
白芍,bai shao,mildly cold,"bitter,sour","liver,spleen"
枳壳,zhi qiao,mildly cold,"bitter,sour,pungent","spleen,stomach"
枳实,zhi shi,mildly cold,"bitter,sour,pungent","spleen,stomach"
佛手,fo shou,warm,"bitter,sour,pungent","lung,liver,spleen,stomach"
香橼,xiang yuan,warm,"bitter,sour,pungent","lung,liver,spleen"
淡竹叶,dan zhu ye,cold,"bland,sweet","stomach,smallintestine,heartothers"
鸭跖草,ya zhi cao,cold,"bland,sweet","lung,stomach,smallintestineothers"
泽泻,ze xie,cold,"bland,sweet","bladder,kidney"
薏苡仁,yi yi ren,cool,"bland,sweet","lung,spleen,stomach"
茯苓,fu ling,even,"bland,sweet","lung,spleen,kidney,heart"
土茯苓,tu fu ling,even,"bland,sweet","liver,stomach"
灯心草,deng xin cao,mildly cold,"bland,sweet","lung,smallintestine,heartothers"
北沙参,bei sha shen,cool,"bland,sweet,bitter","lung,spleen"
榼藤子,ke teng zi,cool,mildly bitter,"liver,spleen,kidney,stomach"
桑枝,sang zhi,even,mildly bitter,liver
野木瓜,ye mu gua,even,mildly bitter,"liver,stomach"
虎杖,hu zhang,mildly cold,mildly bitter,"gallbladder,lung,liver"
牡荆叶,mu jing ye,even,"mildly bitter,pungent",lung
朱砂根,zhu sha gen,even,"mildly bitter,pungent","lung,liver"
连钱草,lian qian cao,mildly cold,"mildly bitter,pungent","bladder,liver,kidney"
颠茄草,dian qie cao,others,"mildly bitter,pungent",others
刺五加,ci wu jia,warm,"mildly bitter,pungent","spleen,kidney,heart"
灯盏细辛,deng zhan xi xin,warm,"mildly bitter,pungent","liver,heart"
急性子,ji xing zi,warm,"mildly bitter,pungent","lung,liver"
九里香,jiu li xiang,warm,"mildly bitter,pungent","liver,stomach"
款冬花,kuan dong hua,warm,"mildly bitter,pungent",lung
麻黄,ma huang,warm,"mildly bitter,pungent","bladder,lung"
蜘蛛香,zhi zhu xiang,warm,"mildly bitter,pungent","spleen,stomach,heart"
菊苣,ju ju,cool,"mildly bitter,salty","gallbladder,liver,stomach"
药王茶,yao wang cha,even,mildly sweet,"heart,liverandspleensothers"
珠子参,zhu zi shen,cold,"mildly sweet,bitter","lung,liver,stomach"
香附,xiang fu,even,"mildly sweet,mildly bitter,pungent","liver,spleen,tripleburnerothers"
升麻,sheng ma,mildly cold,"mildly sweet,pungent","largeintestine,lung,spleen,stomach"
鹿衔草,lu xian cao,warm,"pungent,bitter","liver,kidney"
浮萍,fu ping,cold,pungent,lung
薄荷,bo he,cool,pungent,"liver,lung"
半边莲,ban bian lian,even,pungent,"lung,smallintestine,heartothers"
卷柏,juan bai,even,pungent,"liver,heart"
狼毒,lang du,even,pungent,"liver,spleen"
佩兰,pei lan,even,pungent,"lung,spleen,stomach"
巴豆,ba dou,hot,pungent,"largeintestine,stomach"
巴豆霜,ba dou shuang,hot,pungent,"largeintestine,stomach"
荜茇,bi bo,hot,pungent,"spleen,stomach"
干姜,gan jiang,hot,pungent,"lung,spleen,kidney,stomach,heart"
高良姜,gao liang jiang,hot,pungent,"spleen,stomach"
胡椒,hu jiao,hot,pungent,"largeintestine,stomach"
辣椒,la jiao,hot,pungent,"spleen,heart"
仙茅,xian mao,hot,pungent,"liver,spleen,kidney"
菥蓂,xi ming,mildly cold,pungent,"largeintestine,liver,stomach"
鱼腥草,yu xing cao,mildly cold,pungent,lung
生姜,sheng jiang,mildly warm,pungent,"lung,spleen,stomach"
香薷,xiang ru,mildly warm,pungent,"lung,stomach"
白附子,bai fu zi,warm,pungent,"liver,stomach"
白芷,bai zhi,warm,pungent,"largeintestine,lung,stomach"
半夏,ban xia,warm,pungent,"spleen,stomach"
荜澄茄,bi cheng qie,warm,pungent,"spleen,kidney"
补骨脂,bu gu zhi,warm,pungent,kidney
草豆蔻,cao dou kou,warm,pungent,"spleen,stomach"
草果,cao guo,warm,pungent,"spleen,stomach"
川芎,chuan xiong,warm,pungent,"gallbladder,liver"
大蒜,da suan,warm,pungent,"lung,spleen,stomach"
丁公藤,ding gong teng,warm,pungent,"liver,spleen,stomach"
丁香,ding xiang,warm,pungent,"lung,spleen,kidney,stomach"
豆蔻,dou kou,warm,pungent,"lung,spleen,stomach"
鹅不食草,e bu shi cao,warm,pungent,lung
藁本,gao ben,warm,pungent,bladder
广藿香,guang huo xiang,warm,pungent,"spleen,stomach,lung"
红花,hong hua,warm,pungent,"liver,heart"
花椒,hua jiao,warm,pungent,"spleen,kidney,stomach"
降香,jiang xiang,warm,pungent,"liver,spleen"
芥子,jie zi,warm,pungent,lung
闹羊花,nao yang hua,warm,pungent,liver
千金子,qian jin zi,warm,pungent,"largeintestine,liver,kidney"
肉豆蔻,rou dou kou,warm,pungent,"largeintestine,spleen,stomach"
砂仁,sha ren,warm,pungent,"spleen,kidney,stomach"
苏合香,su he xiang,warm,pungent,"spleen,heart"
檀香,tan xiang,warm,pungent,"lung,spleen,stomach,heart"
土荆皮,tu jing pi,warm,pungent,"lung,spleen"
乌药,wu yao,warm,pungent,"bladder,lung,spleen,kidney"
细辛,xi xin,warm,pungent,"lung,kidney,heart"
小茴香,xiao hui xiang,warm,pungent,"liver,spleen,kidney,stomach"
辛夷,xin yi,warm,pungent,"lung,stomach"
徐长卿,xu chang qing,warm,pungent,"liver,stomach"
洋金花,yang jin hua,warm,pungent,"lung,liver"
益智,yi zhi,warm,pungent,"spleen,kidney"
皂角刺,zao jiao ci,warm,pungent,"liver,stomach"
